Strategy,Timeframe,Fast,Slow,Monthly Return %,Total Return %,Max Drawdown %,Trades,Trades/Month,Win Rate %,Worst Day %,Sharpe Ratio,Days,Passed
V5,3h,15,35,0.77,78.21,-25.62,512,5.03,50.8,-4.16,0.2,3098,✗
V1,4h,12,26,0.71,72.29,-22.74,550,5.4,50.7,-6.48,0.21,3098,✗
V3,2h,20,50,0.71,72.23,-24.54,506,4.97,50.6,-5.13,0.16,3098,✗
V7,1h,25,75,0.66,66.94,-27.01,472,4.64,50.3,-3.05,0.13,3098,✗
V5,4h,15,35,0.65,65.83,-33.04,390,3.83,50.6,-6.48,0.2,3098,✗
V2,30min,10,20,0.62,62.76,-21.23,3540,34.78,49.5,-2.86,0.09,3098,✗
V8,4h,13,34,0.6,61.28,-24.52,412,4.05,50.5,-6.48,0.19,3098,✗
V4,30min,5,15,0.57,58.48,-25.32,4900,48.15,49.2,-2.86,0.08,3098,✗
V3,15min,20,50,0.57,57.91,-22.58,2854,28.04,49.7,-3.83,0.06,3098,✗
V4,1h,5,15,0.54,54.5,-21.61,2454,24.11,49.2,-2.95,0.11,3098,✗
V6,15min,8,21,0.53,53.98,-22.21,6838,67.19,49.6,-3.83,0.06,3098,✗
V9,2h,18,55,0.48,49.11,-29.1,456,4.48,50.5,-5.13,0.13,3098,✗
V5,15min,15,35,0.47,48.0,-31.09,4074,40.03,49.5,-3.83,0.05,3098,✗
V6,4h,8,21,0.45,46.24,-32.05,693,6.81,50.5,-6.48,0.16,3098,✗
V8,3h,13,34,0.45,46.26,-31.19,543,5.34,50.6,-4.16,0.14,3098,✗
V1,3h,12,26,0.44,44.66,-29.21,723,7.1,50.4,-4.16,0.14,3098,✗
V8,15min,13,34,0.44,45.2,-27.62,4244,41.7,49.5,-3.83,0.05,3098,✗
V3,30min,20,50,0.43,43.26,-22.19,1409,13.84,49.9,-2.86,0.07,3098,✗
V1,30min,12,26,0.43,43.84,-27.32,2734,26.86,49.6,-2.86,0.07,3098,✗
V8,30min,13,34,0.37,37.17,-25.38,2149,21.12,49.6,-2.86,0.06,3098,✗
V4,15min,5,15,0.36,36.7,-29.29,9954,97.8,49.3,-3.83,0.04,3098,✗
V2,4h,10,20,0.36,36.83,-36.47,717,7.05,50.5,-6.48,0.13,3098,✗
V2,15min,10,20,0.36,36.86,-23.0,7054,69.31,49.6,-3.83,0.04,3098,✗
V9,15min,18,55,0.36,36.45,-23.16,2708,26.61,49.6,-3.83,0.04,3098,✗
V5,30min,15,35,0.35,35.23,-32.66,2043,20.07,49.7,-2.86,0.06,3098,✗
V6,30min,8,21,0.35,35.4,-25.38,3450,33.9,49.2,-2.86,0.06,3098,✗
V9,3h,18,55,0.33,33.38,-38.34,337,3.31,50.7,-4.16,0.11,3098,✗
V5,2h,15,35,0.33,33.46,-24.78,711,6.99,50.3,-5.13,0.1,3098,✗
V3,3h,20,50,0.29,29.49,-38.66,361,3.55,50.6,-4.16,0.1,3098,✗
V7,3h,25,75,0.27,27.54,-37.04,259,2.54,50.6,-4.16,0.1,3098,✗
V7,2h,25,75,0.26,26.67,-36.9,319,3.13,50.8,-5.13,0.08,3098,✗
V6,1h,8,21,0.22,22.9,-32.83,1673,16.44,49.4,-2.95,0.06,3098,✗
V2,1h,10,20,0.17,17.26,-27.5,1737,17.07,49.4,-2.95,0.05,3098,✗
V9,4h,18,55,0.17,17.34,-46.58,271,2.66,50.4,-6.48,0.08,3098,✗
V4,4h,5,15,0.16,16.35,-30.12,995,9.78,49.8,-6.48,0.08,3098,✗
V1,1h,12,26,0.16,16.24,-17.07,1343,13.2,49.9,-2.95,0.05,3098,✗
V9,1h,18,55,0.15,15.74,-37.54,683,6.71,50.2,-3.05,0.05,3098,✗
V8,2h,13,34,0.15,15.25,-42.15,753,7.4,50.2,-5.13,0.06,3098,✗
V2,2h,10,20,0.14,14.3,-22.3,1221,12.0,50.3,-5.13,0.06,3098,✗
V7,15min,25,75,0.13,12.73,-38.36,1977,19.43,49.8,-3.83,0.02,3098,✗
V5,1h,15,35,0.13,12.82,-31.09,991,9.74,50.2,-3.05,0.04,3098,✗
V7,4h,25,75,0.11,11.26,-46.68,206,2.02,50.3,-6.48,0.06,3098,✗
V1,15min,12,26,0.1,9.75,-29.23,5424,53.29,49.6,-3.83,0.02,3098,✗
V4,2h,5,15,0.07,6.77,-33.11,1749,17.19,49.6,-5.13,0.04,3098,✗
V4,3h,5,15,0.07,7.56,-26.13,1255,12.33,49.7,-4.16,0.05,3098,✗
V3,1h,20,50,0.04,3.78,-45.19,721,7.08,50.2,-3.05,0.03,3098,✗
V8,1h,13,34,0.04,3.75,-33.33,1031,10.13,50.0,-2.95,0.03,3098,✗
V9,30min,18,55,0.01,1.15,-30.05,1345,13.22,49.9,-2.86,0.01,3098,✗
V3,4h,20,50,0.01,0.95,-52.89,287,2.82,50.3,-6.48,0.03,3098,✗
V6,2h,8,21,-0.04,-3.93,-32.59,1191,11.7,50.1,-5.13,0.01,3098,✗
V7,30min,25,75,-0.05,-5.37,-37.27,989,9.72,49.8,-2.86,0.0,3098,✗
V2,3h,10,20,-0.14,-14.04,-48.56,895,8.79,50.1,-4.16,-0.02,3098,✗
V6,3h,8,21,-0.17,-17.74,-37.23,885,8.7,49.7,-4.16,-0.03,3098,✗
V1,2h,12,26,-0.25,-25.11,-44.99,949,9.32,50.2,-5.13,-0.05,3098,✗
