version,timeframe,total_trades,win_rate_pct,profit_factor,sharpe_ratio,max_drawdown_pct,total_return_pct,avg_monthly_ret_pct,worst_month_ret_pct,months_profitable,total_months,min_trades_month,avg_trades_month,max_daily_loss_pct,avg_win_usd,avg_loss_usd,avg_rr,final_balance,obj_monthly_ok,obj_drawdown_ok,obj_trades_ok,obj_daily_ok,obj_sharpe_ok,all_objectives_ok
V1_Original,M15,44,15.91,0.472,-1.006,11.43,-9.4,-0.32,-1.99,5,29,0,1.5,1.0,1201.85,-481.56,2.5,90595.39,False,False,False,True,False,False
V1_Original,M30,44,15.91,0.472,-1.006,11.43,-9.4,-0.32,-1.99,5,29,0,1.5,1.0,1201.85,-481.56,2.5,90595.39,False,False,False,True,False,False
V1_Original,1H,44,15.91,0.472,-1.006,11.43,-9.4,-0.32,-1.99,5,29,0,1.5,1.0,1201.85,-481.56,2.5,90595.39,False,False,False,True,False,False
V1_Original,2H,29,48.28,2.623,1.53,1.99,12.57,0.43,-1.04,13,29,0,1.0,1.06,1451.05,-516.36,2.81,112569.32,False,True,False,True,True,False
V1_Original,3H,25,48.0,2.572,1.177,1.99,10.56,0.36,-1.06,10,29,0,0.9,0.54,1439.43,-516.6,2.79,110557.38,False,True,False,True,True,False
V1_Original,4H,29,44.83,1.792,0.818,2.48,6.48,0.22,-1.56,9,29,0,1.0,1.05,1127.61,-511.39,2.21,106476.77,False,True,False,True,True,False
V2_Optuna,M15,106,13.21,0.354,-2.267,26.45,-26.08,-0.9,-3.43,5,29,0,3.7,1.0,1020.55,-438.77,2.33,73920.65,False,False,False,True,False,False
V2_Optuna,M30,106,13.21,0.354,-2.267,26.45,-26.08,-0.9,-3.43,5,29,0,3.7,1.0,1020.55,-438.77,2.33,73920.65,False,False,False,True,False,False
V2_Optuna,1H,106,13.21,0.354,-2.267,26.45,-26.08,-0.9,-3.43,5,29,0,3.7,1.0,1020.55,-438.77,2.33,73920.65,False,False,False,True,False,False
V2_Optuna,2H,66,22.73,0.861,-0.351,7.02,-3.46,-0.12,-2.99,10,29,0,2.3,1.01,1428.2,-487.95,2.93,96537.71,False,True,False,True,False,False
V2_Optuna,3H,44,38.64,1.473,0.653,3.25,6.76,0.23,-1.51,12,29,0,1.5,0.55,1238.07,-529.03,2.34,106763.34,False,True,False,True,True,False
V2_Optuna,4H,41,39.02,1.687,0.911,5.36,8.94,0.31,-1.49,13,29,0,1.4,0.55,1371.4,-520.28,2.64,108935.29,False,True,False,True,True,False
V3_EA_Final,M15,68,17.65,0.591,-1.039,12.05,-11.04,-0.38,-3.3,7,29,0,2.3,1.0,1331.14,-482.35,2.76,88962.02,False,False,False,True,False,False
V3_EA_Final,M30,68,17.65,0.591,-1.039,12.05,-11.04,-0.38,-3.3,7,29,0,2.3,1.0,1331.14,-482.35,2.76,88962.02,False,False,False,True,False,False
V3_EA_Final,1H,68,17.65,0.591,-1.039,12.05,-11.04,-0.38,-3.3,7,29,0,2.3,1.0,1331.14,-482.35,2.76,88962.02,False,False,False,True,False,False
V3_EA_Final,2H,44,31.82,1.443,0.607,4.41,6.88,0.24,-1.99,11,29,0,1.5,1.07,1599.66,-517.34,3.09,106875.16,False,True,False,True,True,False
V3_EA_Final,3H,35,42.86,2.057,1.248,2.48,10.98,0.38,-1.0,12,29,0,1.2,0.56,1424.67,-519.52,2.74,110979.64,False,True,False,True,True,False
