Strategy,Timeframe,Monthly Return %,Total Return %,Max Drawdown %,Trades,Trades/Month,Win Rate %,Worst Day %,Passed
V6,15min,10.62,9.77,-4.19,56,62.22,49.3,-1.63,✓
V4,30min,10.21,9.37,-4.39,43,47.78,50.8,-1.88,✓
V5,15min,10.09,9.25,-3.01,33,36.67,47.8,-1.77,✓
V8,15min,9.86,9.02,-3.73,34,37.78,47.6,-1.41,✓
V2,15min,8.33,7.53,-4.02,54,60.0,48.7,-2.41,✓
V1,15min,8.09,7.3,-6.72,45,50.0,48.6,-3.09,✓
V4,15min,6.54,5.81,-5.26,72,80.0,48.3,-2.15,✓
V6,30min,4.61,4.0,-4.09,26,28.89,49.7,-1.55,✓
V9,15min,3.34,2.81,-5.33,23,25.56,48.0,-1.72,✓
V4,1h,3.07,2.57,-6.26,21,23.33,48.6,-2.17,✓
V1,30min,3.05,2.56,-5.63,24,26.67,48.4,-1.23,✓
V2,30min,2.94,2.45,-3.96,27,30.0,48.8,-1.73,✓
V3,15min,2.76,2.27,-5.87,25,27.78,47.6,-1.34,✓
V6,2h,2.69,2.21,-7.25,9,10.0,46.9,-2.53,✓
V5,30min,2.15,1.72,-7.43,16,17.78,48.1,-2.66,✓
V7,4h,1.56,1.17,-3.99,2,2.22,52.2,-3.71,✗
V9,3h,1.26,0.91,-4.25,2,2.22,54.0,-3.71,✗
V2,2h,0.4,0.13,-7.15,10,11.11,45.8,-2.53,✗
V5,1h,0.17,-0.08,-7.23,10,11.11,49.4,-2.53,✗
V8,30min,-0.34,-0.53,-8.63,18,20.0,47.8,-2.66,✗
V2,1h,-0.61,-0.78,-10.2,15,16.67,46.8,-2.17,✗
V6,1h,-0.62,-0.79,-8.82,16,17.78,47.2,-2.17,✗
V7,15min,-0.72,-0.88,-7.5,18,20.0,48.8,-1.86,✗
V4,2h,-1.06,-1.18,-7.74,11,12.22,46.2,-2.98,✗
V7,3h,-1.28,-1.38,-4.25,2,2.22,53.4,-3.71,✗
V5,4h,-1.51,-1.59,-4.21,2,2.22,49.3,-3.71,✗
V3,3h,-1.66,-1.72,-4.48,2,2.22,52.3,-3.71,✗
V3,4h,-1.73,-1.78,-3.99,2,2.22,50.0,-3.71,✗
V3,30min,-2.31,-2.28,-10.45,14,15.56,48.2,-2.17,✗
V8,4h,-2.32,-2.3,-4.24,3,3.33,50.7,-3.71,✗
V9,4h,-2.38,-2.35,-4.44,2,2.22,50.0,-3.71,✗
V7,2h,-2.56,-2.5,-5.95,2,2.22,48.9,-4.23,✗
V3,1h,-2.85,-2.75,-6.62,7,7.78,49.6,-2.6,✗
V4,1d,-3.49,-3.38,-5.03,3,3.33,40.7,-3.73,✗
V8,1h,-3.85,-3.63,-10.84,10,11.11,48.6,-2.77,✗
V7,30min,-3.98,-3.73,-12.49,9,10.0,48.2,-2.67,✗
V4,3h,-4.05,-3.81,-11.31,9,10.0,40.8,-2.67,✗
V1,1h,-5.28,-4.86,-11.68,13,14.44,47.6,-2.97,✗
V1,2h,-5.43,-5.0,-10.27,7,7.78,45.4,-3.71,✗
V4,4h,-5.79,-5.3,-8.91,8,8.89,44.1,-2.53,✗
V9,30min,-5.91,-5.39,-12.58,12,13.33,47.5,-2.75,✗
V6,1d,-6.2,-5.71,-5.88,2,2.22,44.4,-3.73,✗
V9,1h,-6.94,-6.27,-9.3,8,8.89,46.8,-2.53,✗
V2,1d,-7.26,-6.6,-6.37,2,2.22,44.4,-3.73,✗
V2,3h,-9.21,-8.18,-9.28,8,8.89,47.1,-3.71,✗
V6,4h,-9.79,-8.66,-10.64,5,5.56,44.1,-3.71,✗
V5,3h,-10.04,-8.86,-9.91,5,5.56,44.3,-3.71,✗
V7,1h,-10.08,-8.88,-10.73,5,5.56,48.2,-3.71,✗
V1,4h,-10.92,-9.58,-9.96,5,5.56,44.9,-3.71,✗
V8,3h,-11.27,-9.86,-10.54,5,5.56,43.7,-3.71,✗
V9,2h,-11.63,-10.15,-10.98,4,4.44,43.1,-3.71,✗
V5,2h,-11.75,-10.24,-12.24,5,5.56,43.1,-3.71,✗
V2,4h,-11.82,-10.31,-10.66,5,5.56,42.6,-3.71,✗
V3,2h,-12.37,-10.74,-11.54,5,5.56,41.6,-3.71,✗
V6,3h,-12.46,-10.82,-13.18,7,7.78,44.8,-3.71,✗
V1,3h,-14.35,-12.33,-12.99,5,5.56,43.7,-3.71,✗
V8,2h,-14.43,-12.39,-13.56,6,6.67,43.1,-3.71,✗
