Strategy,Timeframe,Monthly Return %,Total Return %,Max Drawdown %,Trades,Trades/Month,Win Rate %,Worst Day %,Passed
V3,15min,0.6,63.92,-22.58,1344,14.0,49.6,-3.85,✗
V1,4h,0.59,62.8,-22.74,261,2.72,50.6,-6.21,✗
V5,3h,0.59,62.98,-25.62,244,2.54,50.7,-4.81,✗
V5,4h,0.58,60.85,-33.04,184,1.92,50.5,-5.34,✗
V4,1h,0.57,60.11,-21.61,1149,11.97,49.3,-4.84,✗
V3,30min,0.54,55.3,-22.19,664,6.92,49.9,-7.37,✗
V3,2h,0.54,55.73,-24.54,241,2.51,50.5,-4.81,✗
V2,30min,0.54,55.45,-20.79,1667,17.36,49.4,-4.33,✗
V7,1h,0.54,54.89,-27.01,223,2.32,50.2,-6.08,✗
V6,4h,0.53,53.28,-32.05,325,3.39,50.5,-4.78,✗
V8,4h,0.5,50.06,-24.52,195,2.03,50.4,-4.88,✗
V5,15min,0.5,49.09,-31.09,1919,19.99,49.5,-5.13,✗
V8,30min,0.48,46.86,-25.38,1010,10.52,49.6,-5.27,✗
V9,2h,0.47,44.78,-29.1,218,2.27,50.5,-6.14,✗
V9,15min,0.47,44.61,-23.16,1270,13.23,49.6,-4.17,✗
V5,30min,0.46,43.71,-32.66,960,10.0,49.7,-5.27,✗
V1,3h,0.45,42.44,-29.21,337,3.51,50.4,-4.81,✗
V1,30min,0.45,43.13,-27.32,1290,13.44,49.6,-4.83,✗
V8,15min,0.44,40.68,-27.62,2003,20.86,49.5,-5.29,✗
V8,3h,0.44,40.57,-31.19,257,2.68,50.6,-6.07,✗
V6,1h,0.41,36.8,-32.83,784,8.17,49.5,-5.94,✗
V2,4h,0.41,37.18,-36.47,334,3.48,50.5,-4.78,✗
V4,30min,0.41,37.48,-25.32,2310,24.06,49.1,-5.24,✗
V7,1d,0.4,36.17,-18.31,20,0.21,51.0,-5.17,✗
V6,30min,0.37,32.5,-25.38,1623,16.91,49.2,-4.77,✗
V5,2h,0.37,31.86,-23.53,334,3.48,50.3,-4.81,✗
V6,15min,0.36,30.13,-22.21,3228,33.62,49.5,-4.17,✗
V3,3h,0.35,29.0,-38.66,172,1.79,50.5,-5.28,✗
V9,3h,0.34,27.7,-38.34,161,1.68,50.7,-5.28,✗
V4,15min,0.32,25.98,-29.29,4678,48.73,49.2,-4.64,✗
V2,1h,0.31,24.5,-27.5,818,8.52,49.5,-5.94,✗
V7,15min,0.3,23.62,-38.36,928,9.67,49.7,-4.46,✗
V7,2h,0.28,21.56,-36.9,152,1.58,50.7,-4.97,✗
V2,2h,0.26,18.59,-22.3,576,6.0,50.3,-8.0,✗
V4,4h,0.26,19.03,-30.12,469,4.89,49.8,-8.06,✗
V7,3h,0.25,17.86,-37.04,123,1.28,50.5,-5.28,✗
V1,1h,0.24,17.01,-17.07,631,6.57,49.9,-9.26,✗
V8,2h,0.24,16.63,-42.15,355,3.7,50.2,-5.46,✗
V6,1d,0.23,14.99,-19.2,65,0.68,50.5,-5.17,✗
V4,3h,0.23,15.86,-26.13,589,6.14,49.8,-7.7,✗
V9,4h,0.22,13.77,-46.58,129,1.34,50.3,-5.27,✗
V5,1h,0.21,13.15,-31.09,465,4.84,50.3,-8.66,✗
V2,15min,0.2,11.65,-23.0,3334,34.73,49.5,-5.68,✗
V9,30min,0.2,12.05,-30.05,632,6.58,49.9,-7.37,✗
V9,1h,0.19,11.33,-37.54,322,3.35,50.2,-7.11,✗
V4,2h,0.18,10.54,-33.11,823,8.57,49.6,-8.0,✗
V8,1h,0.16,8.17,-33.33,484,5.04,50.0,-8.92,✗
V9,1d,0.14,5.45,-28.48,24,0.25,50.1,-5.17,✗
V2,1d,0.11,2.62,-20.92,63,0.66,50.4,-5.17,✗
V7,4h,0.08,0.23,-46.68,99,1.03,50.3,-6.21,✗
V6,2h,0.07,-1.12,-32.59,563,5.86,50.1,-8.0,✗
V1,1d,0.07,-0.79,-26.15,53,0.55,50.4,-5.17,✗
V3,1h,0.07,-0.69,-45.19,339,3.53,50.2,-7.7,✗
V7,30min,0.03,-4.33,-37.27,467,4.86,49.9,-5.64,✗
V1,15min,0.03,-4.77,-29.23,2567,26.74,49.5,-5.53,✗
V3,4h,-0.0,-7.65,-52.89,137,1.43,50.1,-5.27,✗
V4,1d,-0.07,-13.46,-45.68,102,1.06,50.4,-5.17,✗
V6,3h,-0.09,-15.23,-37.23,417,4.34,49.7,-5.38,✗
V2,3h,-0.1,-15.6,-48.56,420,4.38,50.0,-5.38,✗
V3,1d,-0.15,-20.18,-37.83,27,0.28,49.7,-5.17,✗
V5,1d,-0.19,-23.2,-38.57,39,0.41,49.5,-5.17,✗
V1,2h,-0.26,-28.14,-44.99,449,4.68,50.2,-8.0,✗
V8,1d,-0.32,-32.27,-43.41,44,0.46,49.1,-5.17,✗
