version,tf,total_trades,win_rate_pct,profit_factor,sharpe_ratio,max_drawdown_pct,total_return_pct,avg_monthly_ret_pct,worst_month_ret_pct,min_trades_month,avg_trades_month,months_profitable,total_months,max_daily_loss_pct,avg_win_usd,avg_loss_usd,avg_rr,final_balance,obj_sharpe_ok,obj_drawdown_ok,obj_daily_loss_ok,obj_trades_ok,obj_monthly_ok,obj_all_pass,params_min_score,params_sl_mult,params_cmf_thr
V1,M15,444,43.24,0.934,-0.242,12.92,-5.59,-0.19,-4.87,2,15.3,16,29,1.75,411.02,-396.74,1.04,94409.83,False,False,False,False,False,False,5,1.8,0.05
V1,M30,444,43.24,0.934,-0.242,12.92,-5.59,-0.19,-4.87,2,15.3,16,29,1.75,411.02,-396.74,1.04,94409.83,False,False,False,False,False,False,5,1.8,0.05
V1,1H,444,43.24,0.934,-0.242,12.92,-5.59,-0.19,-4.87,2,15.3,16,29,1.75,411.02,-396.74,1.04,94409.83,False,False,False,False,False,False,5,1.8,0.05
V1,2H,316,47.78,1.165,0.51,10.02,9.32,0.33,-4.71,1,11.3,14,28,2.0,436.44,-422.27,1.03,109318.88,False,False,False,False,False,False,5,1.8,0.05
V1,3H,155,47.1,0.987,-0.015,5.03,-0.36,-0.01,-2.26,1,6.0,14,26,1.73,384.33,-411.79,0.93,99642.13,False,True,False,False,False,False,5,1.8,0.05
V1,4H,171,53.8,1.355,0.826,6.98,10.89,0.43,-2.7,1,6.3,15,27,1.9,484.15,-497.9,0.97,110887.02,False,True,False,False,False,False,5,1.8,0.05
V1,1D,322,83.23,5.522,3.928,5.35,170.75,10.67,-10.69,1,20.1,8,16,4.42,778.04,-858.2,0.91,270753.76,True,True,False,False,False,False,5,1.8,0.05
V2,M15,348,45.98,1.188,0.515,10.64,12.27,0.44,-3.52,4,12.4,13,28,1.36,485.02,-424.21,1.14,112274.25,False,False,True,False,False,False,6,2.2,0.08
V2,M30,348,45.98,1.188,0.515,10.64,12.27,0.44,-3.52,4,12.4,13,28,1.36,485.02,-424.21,1.14,112274.25,False,False,True,False,False,False,6,2.2,0.08
V2,1H,348,45.98,1.188,0.515,10.64,12.27,0.44,-3.52,4,12.4,13,28,1.36,485.02,-424.21,1.14,112274.25,False,False,True,False,False,False,6,2.2,0.08
V2,2H,248,47.58,1.352,0.821,6.76,15.18,0.55,-3.72,1,8.6,16,29,1.63,521.48,-469.37,1.11,115179.74,False,True,False,False,False,False,6,2.2,0.08
V2,3H,100,41.0,0.924,-0.165,6.78,-1.47,-0.06,-1.58,1,4.3,10,23,1.25,434.59,-428.51,1.01,98534.89,False,True,True,False,False,False,6,2.2,0.08
V2,4H,131,48.09,1.315,0.701,4.9,7.43,0.3,-1.96,1,4.9,14,27,1.45,531.72,-471.9,1.13,107432.81,False,True,True,False,False,False,6,2.2,0.08
V2,1D,293,87.03,8.321,3.894,2.82,187.38,10.38,-6.11,1,16.3,11,18,4.92,832.58,-879.86,0.95,287383.66,True,True,False,False,False,False,6,2.2,0.08
V3,M15,528,46.59,1.02,0.118,13.58,1.81,0.06,-5.92,2,18.2,16,29,1.38,376.03,-343.52,1.09,101814.78,False,False,True,False,False,False,6,1.8,0.08
V3,M30,528,46.59,1.02,0.118,13.58,1.81,0.06,-5.92,2,18.2,16,29,1.38,376.03,-343.52,1.09,101814.78,False,False,True,False,False,False,6,1.8,0.08
V3,1H,528,46.59,1.02,0.118,13.58,1.81,0.06,-5.92,2,18.2,16,29,1.38,376.03,-343.52,1.09,101814.78,False,False,True,False,False,False,6,1.8,0.08
V3,2H,405,52.84,1.369,1.066,8.59,22.7,0.81,-4.49,1,14.5,15,28,1.94,393.64,-377.53,1.04,122700.62,True,False,False,False,False,False,6,1.8,0.08
V3,3H,167,45.51,0.952,-0.117,12.16,-1.39,-0.05,-2.64,1,6.2,13,27,1.4,358.99,-353.93,1.01,98614.26,False,False,True,False,False,False,6,1.8,0.08
V3,4H,211,55.45,1.355,0.968,5.24,12.38,0.45,-2.26,1,7.5,14,28,1.38,413.52,-410.55,1.01,112378.88,False,True,True,False,False,False,6,1.8,0.08
V3,1D,445,83.37,5.195,3.778,7.01,200.19,11.73,-12.95,1,26.2,9,17,4.14,665.51,-720.06,0.92,300189.33,True,True,False,False,False,False,6,1.8,0.08
