Strategy,Timeframe,Monthly Return %,Total Return %,Max Drawdown %,Trades,Trades/Month,Win Rate %,Worst Day %,Passed
V7,1d,1.05,223.92,-22.35,15,139.7,51.0,-11.37,✗
V7,4h,1.05,223.92,-22.35,15,139.7,51.0,-11.37,✗
V7,15min,1.05,223.92,-22.35,15,139.7,51.0,-11.37,✗
V7,3h,1.05,223.92,-22.35,15,139.7,51.0,-11.37,✗
V7,2h,1.05,223.92,-22.35,15,139.7,51.0,-11.37,✗
V7,1h,1.05,223.92,-22.35,15,139.7,51.0,-11.37,✗
V7,30min,1.05,223.92,-22.35,15,139.7,51.0,-11.37,✗
V9,3h,0.48,58.42,-28.68,24,223.5,50.0,-11.37,✗
V9,1h,0.48,58.42,-28.68,24,223.5,50.0,-11.37,✗
V9,1d,0.48,58.42,-28.68,24,223.5,50.0,-11.37,✗
V9,4h,0.48,58.42,-28.68,24,223.5,50.0,-11.37,✗
V9,2h,0.48,58.42,-28.68,24,223.5,50.0,-11.37,✗
V9,15min,0.48,58.42,-28.68,24,223.5,50.0,-11.37,✗
V9,30min,0.48,58.42,-28.68,24,223.5,50.0,-11.37,✗
V3,15min,0.28,24.33,-34.28,27,251.4,50.0,-11.37,✗
V3,3h,0.28,24.33,-34.28,27,251.4,50.0,-11.37,✗
V3,2h,0.28,24.33,-34.28,27,251.4,50.0,-11.37,✗
V3,1d,0.28,24.33,-34.28,27,251.4,50.0,-11.37,✗
V3,4h,0.28,24.33,-34.28,27,251.4,50.0,-11.37,✗
V3,1h,0.28,24.33,-34.28,27,251.4,50.0,-11.37,✗
V3,30min,0.28,24.33,-34.28,27,251.4,50.0,-11.37,✗
V2,1d,0.26,20.73,-29.82,71,661.1,50.6,-11.37,✗
V2,1h,0.26,20.73,-29.82,71,661.1,50.6,-11.37,✗
V2,30min,0.26,20.73,-29.82,71,661.1,50.6,-11.37,✗
V2,2h,0.26,20.73,-29.82,71,661.1,50.6,-11.37,✗
V2,3h,0.26,20.73,-29.82,71,661.1,50.6,-11.37,✗
V2,4h,0.26,20.73,-29.82,71,661.1,50.6,-11.37,✗
V2,15min,0.26,20.73,-29.82,71,661.1,50.6,-11.37,✗
V5,30min,0.21,13.69,-41.52,41,381.8,50.3,-11.37,✗
V5,15min,0.21,13.69,-41.52,41,381.8,50.3,-11.37,✗
V5,1h,0.21,13.69,-41.52,41,381.8,50.3,-11.37,✗
V5,3h,0.21,13.69,-41.52,41,381.8,50.3,-11.37,✗
V5,1d,0.21,13.69,-41.52,41,381.8,50.3,-11.37,✗
V5,4h,0.21,13.69,-41.52,41,381.8,50.3,-11.37,✗
V5,2h,0.21,13.69,-41.52,41,381.8,50.3,-11.37,✗
V8,30min,0.19,9.93,-39.32,44,409.7,50.4,-11.37,✗
V8,15min,0.19,9.93,-39.32,44,409.7,50.4,-11.37,✗
V8,4h,0.19,9.93,-39.32,44,409.7,50.4,-11.37,✗
V8,3h,0.19,9.93,-39.32,44,409.7,50.4,-11.37,✗
V8,1d,0.19,9.93,-39.32,44,409.7,50.4,-11.37,✗
V8,1h,0.19,9.93,-39.32,44,409.7,50.4,-11.37,✗
V8,2h,0.19,9.93,-39.32,44,409.7,50.4,-11.37,✗
V6,4h,0.16,5.64,-34.5,72,670.4,50.4,-11.37,✗
V6,15min,0.16,5.64,-34.5,72,670.4,50.4,-11.37,✗
V6,30min,0.16,5.64,-34.5,72,670.4,50.4,-11.37,✗
V6,1d,0.16,5.64,-34.5,72,670.4,50.4,-11.37,✗
V6,3h,0.16,5.64,-34.5,72,670.4,50.4,-11.37,✗
V6,1h,0.16,5.64,-34.5,72,670.4,50.4,-11.37,✗
V6,2h,0.16,5.64,-34.5,72,670.4,50.4,-11.37,✗
V4,1h,0.06,-6.19,-49.71,98,912.6,51.0,-11.37,✗
V4,2h,0.06,-6.19,-49.71,98,912.6,51.0,-11.37,✗
V4,15min,0.06,-6.19,-49.71,98,912.6,51.0,-11.37,✗
V4,30min,0.06,-6.19,-49.71,98,912.6,51.0,-11.37,✗
V4,3h,0.06,-6.19,-49.71,98,912.6,51.0,-11.37,✗
V4,4h,0.06,-6.19,-49.71,98,912.6,51.0,-11.37,✗
V4,1d,0.06,-6.19,-49.71,98,912.6,51.0,-11.37,✗
V1,1h,-0.17,-29.91,-49.94,58,540.1,49.6,-11.37,✗
V1,3h,-0.17,-29.91,-49.94,58,540.1,49.6,-11.37,✗
V1,1d,-0.17,-29.91,-49.94,58,540.1,49.6,-11.37,✗
V1,15min,-0.17,-29.91,-49.94,58,540.1,49.6,-11.37,✗
V1,30min,-0.17,-29.91,-49.94,58,540.1,49.6,-11.37,✗
V1,2h,-0.17,-29.91,-49.94,58,540.1,49.6,-11.37,✗
V1,4h,-0.17,-29.91,-49.94,58,540.1,49.6,-11.37,✗
