tf,dd_target,slm,rp,tp_r,hold,resample,month_ret,max_dd,trades_pm,win_rate,worst_day,passes
M15,DD5,0.3,0.002,5.0,12,,4.92,-4.52,33.3,29.9,-0.2,True
30M,DD5,0.5,0.004,3.0,24,30min,3.08,-7.37,16.3,36.9,-0.4,False
1H,DD5,0.2,0.003,5.0,2,1h,9.4,-4.03,33.0,41.6,-0.3,True
2H,DD5,0.2,0.003,3.0,2,2h,2.34,-4.71,16.1,39.5,-0.3,True
3H,DD5,0.15,0.004,4.0,2,3h,3.55,-3.94,10.2,40.0,-0.4,True
4H,DD5,0.3,0.005,2.5,2,4h,2.05,-4.85,9.4,46.1,-0.5,True
M15,DD10,1.5,0.005,5.0,12,,4.09,-8.27,26.5,48.6,-0.5,True
30M,DD10,1.2,0.01,3.0,24,30min,3.57,-16.52,13.2,37.6,-1.0,False
1H,DD10,0.7,0.008,5.0,2,1h,6.74,-8.75,31.2,53.3,-0.8,True
2H,DD10,0.7,0.007,3.0,2,2h,2.37,-7.69,15.6,51.6,-0.7,True
3H,DD10,0.4,0.01,4.0,2,3h,5.04,-9.67,10.0,48.4,-1.0,True
4H,DD10,0.7,0.015,2.5,2,4h,3.19,-12.88,8.6,54.5,-1.5,False
