month_end,equity_end,return_pct,max_dd_pct,worst_day_pct,n_trades,wr_pct,obj_m,obj_dd,obj_wd,obj_tpm,passes
2016-01,100472.5600,0.4726,-1.4925,-0.5000,8,37.5000,False,True,True,True,False
2016-02,104189.0300,3.6990,-2.9627,-0.5000,11,36.3636,True,True,True,True,True
2016-03,104459.1900,0.2593,-1.9850,-0.9975,12,25.0000,False,True,True,True,False
2016-04,103598.7200,-0.8237,-2.4751,-0.9975,11,27.2727,False,True,True,True,False
2016-05,103552.4200,-0.0447,-1.9850,-1.4925,12,25.0000,False,True,True,True,False
2016-06,116869.5200,12.8603,-0.9975,-0.8071,20,65.0000,True,True,True,True,True
2016-07,120387.7100,3.0104,-3.4479,-0.9975,11,36.3636,True,True,True,True,True
2016-08,123351.1400,2.4616,-2.9627,-0.9975,15,33.3333,True,True,True,True,True
2016-09,121373.3000,-1.6034,-3.5279,-1.4925,14,21.4286,False,True,True,True,False
2016-10,119296.1000,-1.7114,-4.1156,-1.4925,15,20.0000,False,True,True,True,False
2016-11,122447.5800,2.6417,-1.4925,-0.9975,16,37.5000,True,True,True,True,True
2016-12,124323.4500,1.5320,-1.9850,-0.9975,18,33.3333,False,True,True,True,False
2017-01,127421.7300,2.4921,-1.4925,-0.5000,7,42.8571,True,True,True,True,True
2017-02,136651.0800,7.2432,-1.9850,-1.4925,15,53.3333,True,True,True,True,True
2017-03,151375.2300,10.7750,-0.6730,-0.5000,12,66.6667,True,True,True,True,True
2017-04,149820.6000,-1.0270,-2.4751,-0.9975,10,20.0000,False,True,True,True,False
2017-05,149004.8800,-0.5445,-4.8890,-0.9975,13,23.0769,False,True,True,True,False
2017-06,148193.5900,-0.5445,-2.4751,-1.4925,13,23.0769,False,True,True,True,False
2017-07,149307.8200,0.7519,-1.9850,-0.9975,14,35.7143,False,True,True,True,False
2017-08,148584.1700,-0.4847,-1.9997,-0.9975,11,18.1818,False,True,True,True,False
2017-09,149991.8000,0.9474,-2.4751,-0.9975,14,28.5714,False,True,True,True,False
2017-10,153064.8700,2.0488,-1.4925,-1.4925,17,41.1765,True,True,True,True,True
2017-11,149320.1800,-2.4465,-2.9627,-0.9975,12,16.6667,False,True,True,True,False
2017-12,165415.5400,10.7791,-0.9975,-0.5000,13,69.2308,True,True,True,True,True
2018-01,162873.8700,-1.5365,-2.4751,-0.9975,15,20.0000,False,True,True,True,False
2018-02,161314.5000,-0.9574,-2.4897,-0.9975,17,23.5294,False,True,True,True,False
2018-03,166140.7100,2.9918,-1.4925,-0.9975,10,40.0000,True,True,True,True,True
2018-04,173936.3500,4.6922,-0.9975,-0.9975,13,53.8462,True,True,True,True,True
2018-05,177379.6900,1.9797,-1.4925,-0.5000,7,28.5714,False,True,True,True,False
2018-06,171331.8100,-3.4096,-3.9307,-0.9975,10,20.0000,False,True,True,True,False
2018-07,184747.3200,7.8301,-1.4925,-0.9975,9,66.6667,True,True,True,True,True
2018-08,189945.2800,2.8136,-1.1688,-0.5000,13,38.4615,True,True,True,True,True
2018-09,189538.3000,-0.2143,-1.6743,-0.9975,10,30.0000,False,True,True,True,False
2018-10,202933.6900,7.0674,-1.9850,-0.9975,12,58.3333,True,True,True,True,True
2018-11,209036.2000,3.0071,-0.9975,-0.5000,6,50.0000,True,True,True,False,False
2018-12,214181.7800,2.4616,-1.9850,-1.4925,16,37.5000,True,True,True,True,True
2019-01,230937.7400,7.8232,-1.4925,-0.5000,11,54.5455,True,True,True,True,True
2019-02,240106.4400,3.9702,-1.4925,-1.4925,10,50.0000,True,True,True,True,True
2019-03,236107.9400,-1.6653,-2.9627,-0.9975,9,22.2222,False,True,True,True,False
2019-04,239542.4500,1.4546,-1.4925,-0.9975,13,30.7692,False,True,True,True,False
2019-05,256935.4700,7.2609,-0.9975,-0.5000,13,61.5385,True,True,True,True,True
2019-06,264313.4700,2.8715,-1.9850,-0.5000,12,41.6667,True,True,True,True,True
2019-07,268122.9500,1.4413,-1.0418,-0.5000,7,42.8571,False,True,True,True,False
2019-08,268875.8400,0.2808,-2.9627,-0.9975,14,28.5714,False,True,True,True,False
2019-09,268735.2800,-0.0523,-2.9846,-0.9975,13,23.0769,False,True,True,True,False
2019-10,281157.7800,4.6226,-1.9009,-0.5000,15,46.6667,True,True,True,True,True
2019-11,279879.5500,-0.4546,-3.4479,-1.4925,17,23.5294,False,True,True,True,False
2019-12,284047.2100,1.4891,-2.8468,-0.9975,17,35.2941,False,True,True,True,False
2020-01,293889.0700,3.4649,-1.4925,-0.9975,12,41.6667,True,True,True,True,True
2020-02,295188.1100,0.4420,-1.4925,-0.9975,10,30.0000,False,True,True,True,False
