month_end,equity_end,return_pct,max_dd_pct,worst_day_pct,n_trades,wr_pct,obj_m,obj_dd,obj_wd,obj_tpm,passes
2016-01,100000.0000,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2016-02,100000.0000,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2016-03,105316.0900,5.3161,-1.4925,-0.5000,13,61.5385,True,True,True,True,True
2016-04,109282.4700,3.7662,0.0000,0.0000,4,100.0000,True,True,True,False,False
2016-05,110197.6700,0.8375,-1.4925,-0.9975,12,41.6667,False,True,True,True,False
2016-06,119782.8700,8.6982,-1.4925,-0.9975,14,50.0000,True,True,True,True,True
2016-07,127293.7300,6.2704,-1.4925,-0.5000,11,45.4545,True,True,True,True,True
2016-08,128758.5600,1.1507,-0.9975,-0.5000,12,58.3333,False,True,True,True,False
2016-09,133806.7200,3.9206,-0.9975,-0.5000,6,50.0000,True,True,True,False,False
2016-10,133806.7200,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2016-11,133806.7200,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2016-12,133806.7200,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2017-01,133806.7200,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2017-02,139477.8500,4.2383,-0.5000,-0.5000,7,71.4286,True,True,True,True,True
2017-03,137634.4100,-1.3217,-1.9850,-0.5000,8,12.5000,False,True,True,True,False
2017-04,142726.9500,3.7000,-1.4974,-0.5050,13,46.1538,True,True,True,True,True
2017-05,140596.7300,-1.4925,-1.4925,-0.5000,3,0.0000,False,True,True,False,False
2017-06,137912.1200,-1.9094,-2.3899,-0.9975,8,25.0000,False,True,True,True,False
2017-07,136502.6500,-1.0220,-2.9627,-0.5000,7,14.2857,False,True,True,True,False
2017-08,138269.2700,1.2942,-2.4751,-0.5000,11,36.3636,False,True,True,True,False
2017-09,138733.5400,0.3358,-2.5187,-0.5000,10,30.0000,False,True,True,True,False
2017-10,139396.1900,0.4776,-1.4925,-0.5000,4,25.0000,False,True,True,False,False
2017-11,138005.7100,-0.9975,-0.9975,-0.5000,2,0.0000,False,True,True,False,False
2017-12,140765.8200,2.0000,0.0000,0.0000,1,100.0000,True,True,True,False,False
2018-01,148457.1700,5.4639,-1.9850,-0.5000,17,41.1765,True,True,True,True,True
2018-02,153121.3600,3.1418,-0.9975,-0.9975,8,50.0000,True,True,True,True,True
2018-03,159150.7300,3.9376,-0.5000,-0.5000,4,75.0000,True,True,True,False,False
2018-04,163579.0600,2.7825,-1.9850,-0.9975,11,27.2727,True,True,True,True,True
2018-05,163579.0600,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2018-06,163579.0600,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2018-07,163579.0600,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2018-08,163579.0600,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2018-09,163579.0600,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2018-10,163579.0600,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2018-11,163579.0600,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2018-12,163747.9600,0.1033,-1.9850,-0.5000,8,37.5000,False,True,True,True,False
2019-01,170761.0200,4.2828,-2.4751,-0.5000,18,38.8889,True,True,True,True,True
2019-02,174768.7900,2.3470,-1.9850,-0.9975,14,28.5714,True,True,True,True,True
2019-03,178220.0400,1.9748,-0.9975,-0.5000,6,33.3333,False,True,True,False,False
2019-04,177328.9400,-0.5000,-0.5000,-0.5000,1,0.0000,False,True,True,False,False
2019-05,177235.5900,-0.0526,-0.9975,-0.5000,4,50.0000,False,True,True,False,False
2019-06,182941.2000,3.2192,-0.9714,-0.5000,10,50.0000,True,True,True,True,True
2019-07,184284.7500,0.7344,-3.1976,-0.9975,23,39.1304,False,True,True,True,False
2019-08,190291.3800,3.2594,-2.0114,-0.9975,16,50.0000,True,True,True,True,True
2019-09,197771.8400,3.9311,-1.5713,-0.5000,7,28.5714,True,True,True,True,True
2019-10,202102.1200,2.1895,-0.5000,0.0000,4,75.0000,True,True,True,False,False
2019-11,199085.7300,-1.4925,-1.4925,-0.9975,3,0.0000,False,True,True,False,False
2019-12,210925.5100,5.9471,-1.4925,-0.5000,14,57.1429,True,True,True,True,True
2020-01,218386.4200,3.5372,-2.2306,-0.5000,16,37.5000,True,True,True,True,True
2020-02,240161.5300,9.9709,-0.9975,-0.5000,10,80.0000,True,True,True,True,True
2020-03,244190.5400,1.6776,-0.9975,-0.5000,8,62.5000,False,True,True,True,False
2020-04,239972.2600,-1.7275,-1.7563,-0.9975,14,28.5714,False,True,True,True,False
2020-05,251370.3400,4.7497,-1.4925,-0.9975,11,63.6364,True,True,True,True,True
2020-06,257899.8600,2.5976,-2.2451,-0.5000,11,45.4545,True,True,True,True,True
2020-07,265798.0200,3.0625,-0.9975,-0.9975,12,50.0000,True,True,True,True,True
2020-08,272929.6400,2.6831,-2.2671,-0.5000,10,40.0000,True,True,True,True,True
2020-09,275197.5600,0.8310,-0.9975,-0.5000,6,33.3333,False,True,True,False,False
2020-10,279298.0100,1.4900,-0.5000,-0.5000,2,50.0000,False,True,True,False,False
2020-11,284883.9700,2.0000,0.0000,0.0000,1,100.0000,True,True,True,False,False
2020-12,303505.3300,6.5365,-0.5000,-0.5000,7,85.7143,True,True,True,True,True
2021-01,302186.0500,-0.4347,-0.9975,-0.5000,3,33.3333,False,True,True,False,False
2021-02,302186.0500,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2021-03,302186.0500,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2021-04,302186.0500,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2021-05,328090.2600,8.5723,-0.8563,-0.5000,11,63.6364,True,True,True,True,True
2021-06,343345.0800,4.6496,-0.5000,-0.5000,7,57.1429,True,True,True,True,True
2021-07,341628.3600,-0.5000,-0.5000,-0.5000,1,0.0000,False,True,True,False,False
2021-08,337565.4700,-1.1893,-1.8966,-0.5000,6,16.6667,False,True,True,False,False
2021-09,349447.1000,3.5198,-0.5000,-0.5000,3,66.6667,True,True,True,False,False
2021-10,347735.4300,-0.4898,-0.5000,-0.5000,2,50.0000,False,True,True,False,False
2021-11,363772.4700,4.6118,-1.4925,-0.5000,8,50.0000,True,True,True,True,True
2021-12,376779.4600,3.5756,-0.9975,-0.5000,5,60.0000,True,True,True,False,False
2022-01,384124.8200,1.9495,-1.9850,-0.9975,11,27.2727,False,True,True,True,False
2022-02,401297.3000,4.4705,-0.9865,-0.5000,9,55.5556,True,True,True,True,True
2022-03,422255.5900,5.2226,-1.9850,-0.5000,8,50.0000,True,True,True,True,True
2022-04,433146.1200,2.5791,-1.4925,-0.5000,8,37.5000,True,True,True,True,True
2022-05,433146.1200,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2022-06,433146.1200,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2022-07,433146.1200,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2022-08,433146.1200,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2022-09,433146.1200,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2022-10,433146.1200,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2022-11,456596.3600,5.4139,-1.9850,-0.5000,14,50.0000,True,True,True,True,True
2022-12,500712.8600,9.6620,-1.5458,-0.9975,19,42.1053,True,True,True,True,True
2023-01,532187.2600,6.2859,-1.4925,-0.9975,18,61.1111,True,True,True,True,True
2023-02,529526.3300,-0.5000,-0.5000,-0.5000,1,0.0000,False,True,True,False,False
2023-03,552041.1600,4.2519,-1.5425,-0.5000,12,50.0000,True,True,True,True,True
2023-04,565066.9200,2.3596,-1.1106,-0.5000,12,41.6667,True,True,True,True,True
2023-05,590752.8000,4.5456,-0.7486,-0.5000,9,77.7778,True,True,True,True,True
2023-06,590752.8000,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2023-07,621276.6700,5.1669,-1.4925,-0.9975,9,55.5556,True,True,True,True,True
2023-08,621276.6700,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
2023-09,615079.4400,-0.9975,-0.9975,-0.5000,2,0.0000,False,True,True,False,False
2023-10,653358.5900,6.2234,-0.5000,-0.5000,9,55.5556,True,True,True,True,True
2023-11,661635.4000,1.2668,-3.4825,-0.5000,14,35.7143,False,True,True,True,False
2023-12,684071.9800,3.3911,-0.9975,-0.5000,12,58.3333,True,True,True,True,True
2024-01,691512.7600,1.0877,-1.4925,-0.9975,9,44.4444,False,True,True,True,False
2024-02,726198.0300,5.0159,-1.4925,-0.5000,12,50.0000,True,True,True,True,True
2024-03,807938.6300,11.2560,-0.9975,-0.9975,14,64.2857,True,True,True,True,True
2024-04,852054.0500,5.4602,-1.4925,-0.7469,17,35.2941,True,True,True,True,True
2024-05,826443.4800,-3.0057,-3.0057,-0.5000,8,12.5000,False,True,True,True,False
2024-06,842972.3500,2.0000,0.0000,0.0000,1,100.0000,True,True,True,False,False
2024-07,877907.4800,4.1443,-1.9850,-0.9975,15,46.6667,True,True,True,True,True
2024-08,911079.5800,3.7785,-1.9850,-0.5000,10,40.0000,True,True,True,True,True
2024-09,968087.4200,6.2572,-1.4925,-0.5000,13,46.1538,True,True,True,True,True
2024-10,997395.2100,3.0274,-2.2561,-0.5000,16,43.7500,True,True,True,True,True
2024-11,1012256.4000,1.4900,-0.5000,-0.5000,2,50.0000,False,True,True,False,False
2024-12,1023050.5300,1.0663,-0.5000,-0.5000,2,50.0000,False,True,True,False,False
2025-01,1059804.1000,3.5925,-2.8864,-0.9975,15,33.3333,True,True,True,True,True
2025-02,1103325.4400,4.1065,-1.1291,-0.5000,16,43.7500,True,True,True,True,True
2025-03,1147465.6000,4.0006,-1.4925,-0.5000,12,41.6667,True,True,True,True,True
2025-04,1151475.5300,0.3495,-1.9850,-0.9975,13,30.7692,False,True,True,True,False
2025-05,1158452.3900,0.6059,-2.5564,-0.5000,9,33.3333,False,True,True,True,False
2025-06,1182591.0800,2.0837,-1.4925,-0.9975,12,41.6667,True,True,True,True,True
2025-07,1211084.2900,2.4094,-0.7082,-0.5000,7,57.1429,True,True,True,True,True
2025-08,1266075.6200,4.5407,-0.5000,-0.5000,6,66.6667,True,True,True,False,False
2025-09,1452466.3500,14.7219,-1.0380,-0.5000,16,68.7500,True,True,True,True,True
2025-10,1573482.4000,8.3318,-0.5000,-0.5000,8,87.5000,True,True,True,True,True
2025-11,1626728.6600,3.3840,-1.4925,-0.5000,7,42.8571,True,True,True,True,True
2025-12,1667354.8700,2.4974,-2.0241,-0.9975,18,33.3333,True,True,True,True,True
2026-01,1762124.6600,5.6838,-0.9975,-0.5000,12,50.0000,True,True,True,True,True
2026-02,1833020.3400,4.0233,-0.9975,-0.5000,7,57.1429,True,True,True,True,True
2026-03,1846725.4400,0.7477,-0.9975,-0.5000,9,44.4444,False,True,True,True,False
2026-04,1930767.2100,4.5509,-0.5000,0.0000,5,80.0000,True,True,True,False,False
2026-05,1930767.2100,0.0000,0.0000,0.0000,0,0.0000,False,True,True,False,False
