entry_time,exit_time,direction,pnl_abs,win
2016-01-28 20:00:00,2016-01-29 04:00:00,L,-687.4915805725597,False
2016-01-29 08:00:00,2016-01-29 12:00:00,L,-794.5000673554196,False
2016-02-02 04:00:00,2016-02-02 08:00:00,L,-788.1440668165762,False
2016-02-03 08:00:00,2016-02-03 12:00:00,L,1954.5972857051088,True
2016-02-05 08:00:00,2016-02-05 12:00:00,L,-797.4756925676845,False
2016-02-09 16:00:00,2016-02-09 20:00:00,L,-791.095887027143,False
2016-02-10 00:00:00,2016-02-10 08:00:00,L,-507.92284158783684,False
2016-02-12 04:00:00,2016-02-12 12:00:00,L,247.03353177791823,True
2016-02-16 04:00:00,2016-02-16 08:00:00,L,1956.7000136311165,True
2016-02-16 20:00:00,2016-02-17 00:00:00,L,-798.3336055614956,False
2016-02-18 08:00:00,2016-02-18 16:00:00,L,1612.9922909463535,True
2016-02-19 08:00:00,2016-02-19 16:00:00,L,1261.1898097461146,True
2016-02-25 00:00:00,2016-02-25 04:00:00,L,2037.350983806358,True
2016-02-26 16:00:00,2016-02-29 00:00:00,L,399.45072120824676,True
2016-03-01 08:00:00,2016-03-01 12:00:00,L,-834.4348071626601,False
2016-03-02 00:00:00,2016-03-02 08:00:00,L,-94.07840529935649,False
2016-03-07 04:00:00,2016-03-07 08:00:00,L,2067.5167536574104,True
2016-03-08 16:00:00,2016-03-08 20:00:00,L,-843.5468354922234,False
2016-03-09 12:00:00,2016-03-09 20:00:00,L,59.21095437698578,True
2016-03-10 04:00:00,2016-03-10 12:00:00,L,-837.2721484433016,False
2016-03-11 08:00:00,2016-03-11 12:00:00,L,-830.5739712557552,False
2016-03-14 12:00:00,2016-03-14 16:00:00,L,-823.9293794857091,False
2016-03-16 08:00:00,2016-03-16 16:00:00,L,-817.3379444498235,False
2016-03-17 20:00:00,2016-03-18 04:00:00,L,1129.9789855917868,True
2016-03-18 12:00:00,2016-03-18 20:00:00,L,193.75484205273935,True
2016-03-22 00:00:00,2016-03-22 08:00:00,L,2807.2548711782683,True
2016-03-29 08:00:00,2016-03-29 12:00:00,L,2109.6178762120185,True
2016-03-31 20:00:00,2016-04-01 04:00:00,L,611.6354947151716,True
2016-04-08 04:00:00,2016-04-08 08:00:00,L,-865.617177452225,False
2016-04-12 04:00:00,2016-04-12 08:00:00,L,2146.730600081518,True
2016-04-13 04:00:00,2016-04-13 08:00:00,L,-875.8660848332593,False
2016-04-14 00:00:00,2016-04-14 08:00:00,L,1686.9546778409294,True
2016-04-20 08:00:00,2016-04-20 16:00:00,L,975.6815902601894,True
2016-04-20 20:00:00,2016-04-21 04:00:00,L,906.6810916386003,True
2016-04-21 16:00:00,2016-04-21 20:00:00,L,-897.4136950325109,False
2016-04-26 04:00:00,2016-04-26 08:00:00,L,-890.2343854722509,False
2016-04-27 16:00:00,2016-04-27 20:00:00,L,-883.1125103884729,False
2016-04-28 04:00:00,2016-04-28 08:00:00,L,2190.1190257634125,True
2016-05-02 04:00:00,2016-05-02 08:00:00,L,2233.921406278681,True
2016-05-02 16:00:00,2016-05-02 20:00:00,L,-911.4399337617018,False
2016-05-03 16:00:00,2016-05-04 00:00:00,L,305.09396688692414,True
2016-05-05 08:00:00,2016-05-05 12:00:00,L,2266.472915066759,True
2016-05-05 16:00:00,2016-05-06 00:00:00,L,211.18423583367672,True
2016-05-08 20:00:00,2016-05-09 00:00:00,L,-926.410423233907,False
2016-05-09 08:00:00,2016-05-09 12:00:00,L,-918.9991398480357,False
2016-05-10 16:00:00,2016-05-11 00:00:00,L,1706.4328085227667,True
2016-05-12 04:00:00,2016-05-12 08:00:00,L,-925.2986091974336,False
2016-05-12 20:00:00,2016-05-13 04:00:00,L,1838.2849773869061,True
2016-05-16 20:00:00,2016-05-17 04:00:00,L,1239.8596506035274,True
2016-05-17 08:00:00,2016-05-17 12:00:00,L,-942.5213773477776,False
2016-06-06 04:00:00,2016-06-06 12:00:00,L,327.10649749393133,True
2016-06-07 08:00:00,2016-06-07 12:00:00,L,-937.598058308947,False
2016-06-09 08:00:00,2016-06-09 12:00:00,L,-930.0972738424754,False
2016-06-10 08:00:00,2016-06-10 12:00:00,L,2306.641239129339,True
2016-06-13 04:00:00,2016-06-13 08:00:00,L,2352.7740639119256,True
2016-06-14 04:00:00,2016-06-14 12:00:00,L,2249.5776691860433,True
