month_end,equity_end,return_pct,max_dd_pct,worst_day_pct,n_trades,wr_pct,obj_m,obj_dd,obj_wd,obj_tpm,passes
2016-01,104841.4600,4.8415,-1.1946,-0.8973,23,39.1304,True,True,True,True,True
2016-02,119226.5400,13.7208,-0.7188,-0.3000,23,65.2174,True,True,True,True,True
2016-03,122490.4900,2.7376,-0.8973,-0.5991,23,30.4348,True,True,True,True,True
2016-04,129614.1600,5.8157,-1.4117,-0.5991,23,47.8261,True,True,True,True,True
2016-05,131763.4300,1.6582,-2.6678,-0.8973,31,25.8065,False,True,True,True,False
2016-06,146203.2300,10.9589,-1.3671,-0.5991,29,48.2759,True,True,True,True,True
2016-07,156513.5000,7.0520,-2.3750,-1.1946,24,50.0000,True,True,True,True,True
2016-08,163898.8700,4.7187,-2.0836,-1.1946,30,36.6667,True,True,True,True,True
2016-09,172168.9700,5.0459,-2.9598,-1.4910,36,30.5556,True,True,True,True,True
2016-10,184543.8100,7.1876,-0.8973,-0.3000,28,53.5714,True,True,True,True,True
2016-11,191059.1800,3.5305,-1.7866,-0.8973,40,32.5000,True,True,True,True,True
2016-12,205941.3900,7.7893,-0.8973,-0.8973,35,42.8571,True,True,True,True,True
2017-01,219956.1300,6.8052,-1.3597,-0.8973,29,37.9310,True,True,True,True,True
2017-02,234981.7400,6.8312,-1.1946,-1.1946,28,42.8571,True,True,True,True,True
2017-03,244459.6100,4.0334,-1.7866,-1.1946,30,33.3333,True,True,True,True,True
2017-04,256678.4200,4.9983,-1.1946,-0.8973,19,42.1053,True,True,True,True,True
2017-05,257566.3400,0.3459,-3.0706,-0.8973,25,28.0000,False,True,True,True,False
2017-06,259236.0500,0.6483,-2.0707,-0.8973,24,33.3333,False,True,True,True,False
2017-07,265591.6300,2.4517,-2.3037,-1.1946,30,36.6667,True,True,True,True,True
2017-08,273565.8700,3.0024,-1.4806,-1.1946,27,40.7407,True,True,True,True,True
2017-09,275855.6100,0.8370,-2.2312,-1.1946,26,26.9231,False,True,True,True,False
2017-10,281589.6700,2.0786,-1.7773,-1.1946,35,37.1429,True,True,True,True,True
2017-11,280152.8800,-0.5102,-2.2214,-0.5991,20,30.0000,False,True,True,True,False
2017-12,296077.1600,5.6841,-1.5720,-0.5991,20,35.0000,True,True,True,True,True
2018-01,306648.7000,3.5705,-2.0033,-1.1946,32,31.2500,True,True,True,True,True
2018-02,301536.8800,-1.6670,-3.2509,-1.4910,32,25.0000,False,True,True,True,False
2018-03,308310.7300,2.2464,-1.7866,-0.8973,25,36.0000,True,True,True,True,True
2018-04,302316.0900,-1.9443,-2.6649,-1.1946,22,22.7273,False,True,True,True,False
2018-05,308324.5800,1.9875,-1.1946,-0.5991,18,33.3333,False,True,True,True,False
2018-06,323242.1200,4.8383,-1.1946,-0.8973,26,50.0000,True,True,True,True,True
2018-07,325919.2500,0.8282,-1.9143,-0.8973,34,26.4706,False,True,True,True,False
2018-08,329136.1600,0.9870,-2.2267,-0.8040,23,34.7826,False,True,True,True,False
2018-09,322651.5200,-1.9702,-2.4240,-0.5991,23,30.4348,False,True,True,True,False
